File Name,Upload Time (seconds)
file_2,5.07
file_1,5.08
file_3,4.74
file_4,4.90
file_5,5.36
file_6,5.31
file_8,4.89
file_7,5.25
file_9,5.55
file_10,5.43
file_11,5.19
file_12,5.28
file_13,5.54
file_14,5.38
file_15,4.98
file_16,4.97
file_17,5.56
file_18,5.25
file_19,4.11
file_20,5.00
file_21,4.93
file_22,4.76
file_23,4.29
file_24,4.27
file_25,4.03
file_26,4.37
file_27,4.31
file_28,4.47
file_29,4.98
file_30,4.63
file_31,4.20
file_32,3.86
file_33,4.16
file_34,4.49
file_35,4.25
file_36,4.51
file_37,4.28
file_38,4.35
file_39,4.24
file_40,3.94
file_41,4.44
file_42,4.75
file_43,4.63
file_44,4.77
file_45,5.08
file_46,4.65
file_47,4.92
file_48,4.41
file_49,4.29
file_50,4.59
file_51,4.69
file_52,5.05
file_53,4.77
file_54,4.89
file_55,5.00
file_56,4.78
file_57,4.44
file_58,5.08
file_59,4.55
file_60,4.75
file_61,5.03
file_62,4.77
file_63,4.43
file_64,4.62
file_65,4.96
file_66,4.70
file_67,4.59
file_68,4.74
file_69,4.83
file_70,4.82
file_71,4.89
file_72,4.78
file_73,4.88
file_74,3.75
file_75,4.16
file_76,4.47
file_77,4.84
file_78,4.49
file_79,4.42
file_80,5.00
file_81,3.92
file_82,4.91
file_83,4.93
file_84,4.84
file_85,4.47
file_86,4.43
file_87,4.90
file_88,4.49
file_89,4.38
file_90,4.99
file_91,4.82
file_92,3.78
file_93,5.66
file_94,5.03
file_95,4.20
file_96,4.28
file_97,4.29
file_98,4.19
file_100,4.64
file_99,5.04
