File Name,Upload Time (seconds)
file_4,7.12
file_3,8.06
file_2,8.30
file_1,8.85
file_6,5.61
file_5,7.12
file_8,6.34
file_7,9.07
file_9,9.40
file_11,8.91
file_13,4.46
file_10,15.66
file_12,15.32
file_14,12.36
file_15,9.13
file_16,8.91
file_18,6.70
file_19,7.25
file_17,12.18
file_20,8.72
file_21,5.96
file_22,6.18
file_25,6.98
file_24,10.04
file_26,8.53
file_23,13.79
file_27,5.73
file_28,6.67
file_29,6.16
file_30,9.21
file_31,8.12
file_33,5.44
file_32,6.20
file_36,6.03
file_35,7.93
file_37,8.47
file_34,11.43
file_40,3.86
file_38,7.84
file_39,7.26
file_41,9.46
file_43,5.36
file_44,8.38
file_42,10.78
file_46,6.49
file_45,8.09
file_47,5.78
file_49,3.67
file_50,6.77
file_51,5.98
file_54,4.87
file_53,6.67
file_48,17.13
file_52,14.16
file_55,6.80
file_56,7.82
file_57,8.20
file_59,5.88
file_58,9.18
file_60,5.75
file_61,8.36
file_62,5.07
file_64,7.37
file_65,4.21
file_63,8.87
file_66,6.99
file_67,4.50
file_68,5.74
file_69,7.68
file_70,5.84
file_71,8.22
file_72,6.94
file_73,6.57
file_76,4.04
file_75,7.39
file_79,5.38
file_77,10.66
file_78,9.06
file_74,18.15
file_80,4.20
file_81,5.53
file_83,5.25
file_82,9.14
file_84,6.60
file_86,11.00
file_87,11.57
file_88,12.47
file_85,18.50
file_90,5.73
file_89,9.90
file_92,5.44
file_91,6.62
file_93,5.46
file_95,4.85
file_94,7.01
file_96,7.00
file_97,5.95
file_98,5.06
file_100,6.33
file_99,10.32
