File Name,Upload Time (seconds)
file_2,8.58
file_1,9.72
file_4,10.50
file_3,12.36
file_5,9.20
file_6,14.18
file_7,11.85
file_8,10.09
file_10,6.52
file_9,10.90
file_12,7.18
file_11,10.92
file_13,12.59
file_14,13.80
file_15,11.85
file_16,12.44
file_17,14.89
file_18,11.08
file_20,6.71
file_19,9.13
file_22,10.61
file_21,12.92
file_23,8.35
file_24,10.44
file_25,6.15
file_26,9.66
file_27,8.22
file_29,6.65
file_28,8.47
file_31,9.50
file_30,11.40
file_32,5.45
file_33,8.42
file_35,6.65
file_36,5.77
file_34,22.88
file_37,8.15
file_38,8.24
file_39,14.79
file_40,12.22
file_42,10.58
file_41,16.15
file_43,5.88
file_45,6.45
file_44,12.75
file_46,7.57
file_48,5.68
file_47,14.50
file_49,5.81
file_50,5.03
file_51,7.13
file_52,7.45
file_53,7.10
file_54,7.93
file_55,6.78
file_57,5.49
file_56,10.05
file_58,6.75
file_59,7.34
file_60,6.57
file_62,7.48
file_61,14.07
file_63,10.01
file_64,10.15
file_65,6.92
file_66,7.84
file_68,6.76
file_67,11.11
file_70,6.71
file_69,10.36
file_71,5.75
file_72,8.76
file_73,7.51
file_74,10.68
file_75,10.61
file_77,5.42
file_76,16.90
file_78,11.65
file_79,9.87
file_80,8.48
file_81,5.01
file_82,8.42
file_83,8.18
file_84,6.40
file_86,7.01
file_85,10.02
file_87,8.40
file_88,12.24
file_89,10.86
file_90,8.49
file_92,15.67
file_91,17.94
file_94,6.10
file_93,7.80
file_95,17.75
file_96,19.32
file_97,6.08
file_98,7.62
file_99,10.76
file_100,12.70
