File Name,Upload Time (seconds)
file_1,3.19
file_2,3.19
file_4,2.79
file_3,3.12
file_5,2.21
file_6,3.81
file_7,2.09
file_8,2.58
file_9,3.04
file_10,2.01
file_11,2.91
file_12,2.50
file_13,3.50
file_14,4.86
file_15,3.90
file_16,1.82
file_17,2.01
file_19,2.76
file_20,1.85
file_18,7.52
file_21,3.26
file_22,2.91
file_23,1.84
file_24,3.37
file_25,2.66
file_26,2.39
file_27,2.11
file_28,1.86
file_29,3.43
file_30,4.18
file_31,4.24
file_32,1.99
file_33,2.82
file_35,1.90
file_34,5.59
file_37,2.32
file_36,4.37
file_39,1.79
file_38,3.19
file_40,1.82
file_41,3.21
file_42,3.65
file_43,3.02
file_44,1.92
file_45,1.91
file_46,3.39
file_47,3.12
file_48,2.35
file_49,4.70
file_50,4.06
file_52,2.98
file_51,3.75
file_54,3.22
file_53,3.86
file_55,3.64
file_56,3.10
file_57,1.84
file_58,2.96
file_60,2.07
file_59,4.39
file_61,3.15
file_62,2.21
file_63,1.95
file_65,2.47
file_64,4.35
file_66,1.72
file_67,3.53
file_68,2.85
file_69,2.39
file_70,1.99
file_72,2.30
file_71,3.04
file_73,1.87
file_74,4.14
file_75,3.34
file_77,1.85
file_76,5.02
file_78,2.77
file_80,1.95
file_79,3.68
file_81,2.22
file_82,2.27
file_83,3.50
file_84,2.28
file_85,2.07
file_86,3.56
file_87,2.43
file_89,3.41
file_88,4.54
file_91,2.30
file_90,4.12
file_92,3.82
file_93,2.39
file_94,2.67
file_96,1.91
file_97,1.88
file_95,6.47
file_98,1.84
file_99,5.27
file_100,4.45
