File Name,Upload Time (seconds)
file_2,15.95
file_1,17.66
file_3,6.14
file_4,5.87
file_5,4.65
file_6,8.00
file_7,6.46
file_9,4.22
file_8,6.07
file_10,5.83
file_11,5.67
file_12,5.72
file_14,4.89
file_13,11.54
file_15,3.30
file_17,3.14
file_18,3.62
file_16,13.37
file_19,8.19
file_20,6.47
file_21,5.55
file_22,6.34
file_23,4.19
file_24,3.76
file_25,3.57
file_27,3.03
file_26,5.94
file_29,3.43
file_30,2.90
file_31,4.11
file_28,13.51
file_32,3.43
file_34,3.61
file_33,8.16
file_35,3.48
file_37,3.75
file_36,6.31
file_38,2.88
file_39,6.65
file_40,7.78
file_42,3.96
file_43,2.90
file_41,12.44
file_44,4.39
file_46,5.45
file_45,8.03
file_47,5.30
file_48,8.28
file_50,2.96
file_49,8.74
file_51,5.40
file_52,5.13
file_53,8.06
file_54,7.69
file_56,6.81
file_55,8.83
file_57,6.90
file_58,7.08
file_60,6.75
file_59,8.16
file_61,6.76
file_62,6.90
file_64,3.77
file_63,4.64
file_65,6.99
file_66,7.00
file_67,6.68
file_68,7.43
file_69,6.41
file_70,9.79
file_71,4.60
file_73,3.88
file_72,4.14
file_75,4.07
file_76,3.71
file_74,18.48
file_77,14.64
file_78,5.35
file_80,4.14
file_79,10.07
file_81,7.87
file_82,5.06
file_84,4.21
file_83,6.45
file_85,3.30
file_86,3.82
file_87,3.34
file_88,5.23
file_90,3.22
file_91,3.87
file_89,12.18
file_92,4.28
file_93,4.11
file_94,3.58
file_96,4.16
file_95,6.35
file_97,3.67
file_98,5.40
file_100,4.82
file_99,8.15
