File Name,Upload Time (seconds)
file_1,7.08
file_2,7.01
file_3,7.02
file_4,7.27
file_5,6.92
file_6,7.16
file_7,7.05
file_8,7.15
file_9,7.03
file_10,7.03
file_11,7.19
file_12,7.14
file_13,7.32
file_14,6.91
file_15,7.09
file_16,7.09
file_17,6.95
file_18,7.19
file_19,7.09
file_20,6.99
file_21,6.91
file_22,7.09
file_23,7.09
file_24,7.11
file_25,7.25
file_26,6.90
file_27,7.08
file_28,7.16
file_29,7.08
file_30,7.12
file_31,7.07
file_32,6.92
file_33,7.17
file_34,7.11
file_35,7.16
file_36,6.92
file_37,7.10
file_38,7.07
file_39,6.99
file_40,7.10
file_41,7.08
file_42,7.10
file_43,7.10
file_44,7.03
file_45,6.92
file_46,7.15
file_47,7.04
file_48,7.01
file_49,7.15
file_50,7.07
file_51,7.12
file_52,7.05
file_53,7.16
file_54,7.06
file_55,6.96
file_56,6.91
file_57,6.92
file_58,6.71
file_59,6.94
file_60,7.00
file_61,7.01
file_62,7.07
file_63,7.15
file_64,6.97
file_65,7.07
file_66,7.17
file_67,6.97
file_68,6.97
file_69,7.20
file_70,7.11
file_71,7.03
file_72,6.96
file_73,7.02
file_74,7.15
file_75,7.14
file_76,7.01
file_77,7.05
file_78,7.08
file_79,7.11
file_80,7.22
file_81,7.05
file_82,7.13
file_83,7.05
file_84,7.11
file_85,6.98
file_86,7.07
file_87,7.17
file_88,7.09
file_89,7.00
file_90,7.00
file_91,6.99
file_92,6.90
file_93,6.98
file_94,7.11
file_95,6.96
file_96,6.91
file_97,6.89
file_98,6.88
file_99,6.97
file_100,7.06
